Company,Company Score,Job Title,Location,Date,Salary,City,state,Remote,LowerSalary,UpperSalary,Mid_Salary,Group_job,Salary_Range,Company_Score_Group
Excelacom,4.0,devops engineer,"denver, co",3d,$78K - $129K (Glassdoor est.),Denver, CO,No,78.0,129.0,103.5,Software_Dev,101-150,กลาง(>2-3.5]
Cityblock Health,4.1,senior software engineer,new york state,9d,$82K - $118K (Glassdoor est.),New York State,Unknow,No,82.0,118.0,100.0,Software_En,50-100,กลาง(>2-3.5]
Rocket Software,4.3,machine learning software engineer,massachusetts,3d,$138K - $294K (Employer est.),Massachusetts,Unknow,No,138.0,294.0,216.0,Software_En,201-250,กลาง(>2-3.5]
Huntington Ingalls Industries Inc.,3.3,software engineer (hybrid) - 19943,"columbia, md",11d,$136K - $187K (Glassdoor est.),Columbia, MD,No,136.0,187.0,161.5,Software_En,151-200,ต่ำ(0-2]
Intuitive Machines LLC,3.8,research software engineer,"houston, tx",10d,$295K - $440K (Employer est.),Houston, TX,No,295.0,440.0,367.5,Software_En,>300,กลาง(>2-3.5]
Equifax,4.4,software engineer - career,"alpharetta, ga",3d,$95K - $146K (Glassdoor est.),Alpharetta, GA,No,95.0,146.0,120.5,Software_En,101-150,กลาง(>2-3.5]
Super Micro Computer,4.0,software engineer,"san jose, ca",19d,$117K - $161K (Employer est.),San Jose, CA,No,117.0,161.0,139.0,Software_En,101-150,กลาง(>2-3.5]
Akamai,4.0,software engineer - remote,united states,9d,$173K (Employer est.),United States,Unknow,No,,,129.3361934477379,Software_En,101-150,กลาง(>2-3.5]
Mailprotector,4.6,software engineer,remote,2d,$50.00 Per Hour (Employer est.),Remote,Unknow,Yes,,,129.3361934477379,Software_En,101-150,สูง(>3.5-5]
Blockit Now Inc,3.8,elixir software engineer,"mckinney, tx",5d,$175K - $250K (Employer est.),McKinney, TX,No,175.0,250.0,212.5,Software_En,201-250,กลาง(>2-3.5]
TENICA and Associates LLC,4.1,software systems engineer ts/sci ci poly,"las cruces, nm",5d,$55K - $140K (Employer est.),Las Cruces, NM,No,55.0,140.0,97.5,Software_En,50-100,กลาง(>2-3.5]
Arch Capital Group Ltd.,3.9,software engineer ii,"greensboro, nc",5d,$126K - $234K (Employer est.),Greensboro, NC,No,126.0,234.0,180.0,Software_En,151-200,กลาง(>2-3.5]
Lynker Corporation,3.9,software engineer,"stennis space center, ms",30d+,$78K - $129K (Employer est.),Stennis Space Center, MS,No,78.0,129.0,103.5,Software_En,101-150,กลาง(>2-3.5]
YouTube,3.2,"senior software engineer, full stack, youtube","new york, ny",1d,$75K - $102K (Glassdoor est.),New York, NY,No,75.0,102.0,88.5,Software_En,50-100,ต่ำ(0-2]
Perforce Software,4.2,senior software engineer - us,remote,2d,$115K - $150K (Employer est.),Remote,Unknow,Yes,115.0,150.0,132.5,Software_En,101-150,กลาง(>2-3.5]
World Vision USA,3.8,sr. software engineer,united states,16d,$115K - $160K (Employer est.),United States,Unknow,No,115.0,160.0,137.5,Software_En,101-150,กลาง(>2-3.5]
Featurespace,5.0,software engineer,"atlanta, ga",30d+,$82K - $92K (Employer est.),Atlanta, GA,No,82.0,92.0,87.0,Software_En,50-100,สูง(>3.5-5]
Bigbear.ai,3.7,software engineer,"columbia, md",9d,$120K - $130K (Employer est.),Columbia, MD,No,120.0,130.0,125.0,Software_En,101-150,กลาง(>2-3.5]
"Benistar Administrative Services, Inc.",3.9,aws cloud engineer,"avon, ct",2d,$86K - $131K (Glassdoor est.),Avon, CT,No,86.0,131.0,108.5,Software_clound,101-150,กลาง(>2-3.5]
State of Colorado Job Opportunities,4.7,cloud engineer (remote from anywhere in colorado),colorado,2d,$92K - $133K (Glassdoor est.),Colorado,Unknow,No,92.0,133.0,112.5,Software_clound,101-150,สูง(>3.5-5]
Intellisource Colorado LLC,3.1,senior software engineer - enterprise people technology,"bentonville, ar",3d,$112K - $165K (Glassdoor est.),Bentonville, AR,No,112.0,165.0,138.5,Software_En,101-150,ต่ำ(0-2]
"First Command Financial Services, Inc.",4.2,software engineer,,2d,$50.00 - $70.00 Per Hour (Employer est.),Unknow,Unknow,No,,,129.3361934477379,Software_En,101-150,กลาง(>2-3.5]
NBCUniversal,4.4,post software engineer,"englewood cliffs, nj",3d,$145K - $162K (Employer est.),Englewood Cliffs, NJ,No,145.0,162.0,153.5,Software_En,151-200,กลาง(>2-3.5]
Artera Technologies,4.4,cloud software engineers,united states,6d,$147K - $189K (Employer est.),United States,Unknow,No,147.0,189.0,168.0,Software_clound,151-200,กลาง(>2-3.5]
Thompson Gray Inc.,4.7,engineer (software),redstone arsenal,30d+,$72K - $159K (Employer est.),Redstone Arsenal,Unknow,No,72.0,159.0,115.5,Software_En,101-150,สูง(>3.5-5]
Origence,4.0,software engineer - cudl modernization,remote,1d,$79K - $111K (Glassdoor est.),Remote,Unknow,Yes,79.0,111.0,95.0,Software_En,50-100,กลาง(>2-3.5]
Medius,3.6,software engineer,"jacksonville, fl",30d+,$115K - $161K (Employer est.),Jacksonville, FL,No,115.0,161.0,138.0,Software_En,101-150,กลาง(>2-3.5]
f5,3.8,principal software engineer,"seattle, wa",4d,$82K - $102K (Employer est.),Seattle, WA,No,82.0,102.0,92.0,Software_En,50-100,กลาง(>2-3.5]
CNH Industrial,3.8,software engineer ii,remote,2d,$86K - $136K (Glassdoor est.),Remote,Unknow,Yes,86.0,136.0,111.0,Software_En,101-150,กลาง(>2-3.5]
Fusion Plus Solutions Inc.,3.7,software engineers,"edison, nj",30d+,$170K - $200K (Employer est.),Edison, NJ,No,170.0,200.0,185.0,Software_En,151-200,กลาง(>2-3.5]
University of Florida,3.2,software engineer i/ii,florida,16d,$90K - $116K (Glassdoor est.),Florida,Unknow,No,90.0,116.0,103.0,Software_En,101-150,ต่ำ(0-2]
Northwestern Mutual,3.8,software engineer,"franklin, wi",4d,$114K - $152K (Glassdoor est.),Franklin, WI,No,114.0,152.0,133.0,Software_En,101-150,กลาง(>2-3.5]
Vibrint,3.8,software engineer i,"annapolis junction, md",30d+,$80K - $120K (Employer est.),Annapolis Junction, MD,No,80.0,120.0,100.0,Software_En,50-100,กลาง(>2-3.5]
Hubbell Incorporated,3.4,sr assoc software engineer,"avon, ct",1d,$95K - $126K (Glassdoor est.),Avon, CT,No,95.0,126.0,110.5,Software_En,101-150,ต่ำ(0-2]
Valkyrie Enterprises,3.8,junior computer/software engineer (job id: 3433),"huntsville, al",23d,$138K - $178K (Employer est.),Huntsville, AL,No,138.0,178.0,158.0,Software_En,151-200,กลาง(>2-3.5]
Two Six Technologies,4.5,software engineer,"herndon, va",30d+,$61K - $147K (Employer est.),Herndon, VA,No,61.0,147.0,104.0,Software_En,101-150,สูง(>3.5-5]
Decision Six,3.6,software engineer,united states,5d,$124K - $211K (Employer est.),United States,Unknow,No,124.0,211.0,167.5,Software_En,151-200,กลาง(>2-3.5]
Microsoft,4.4,software engineer,"redmond, wa",4d,$90K - $117K (Glassdoor est.),Redmond, WA,No,90.0,117.0,103.5,Software_En,101-150,กลาง(>2-3.5]
Ateliere Creative Technologies,4.1,senior devops engineer - los angeles,"los angeles, ca",2d,$98K - $209K (Employer est.),Los Angeles, CA,No,98.0,209.0,153.5,Software_Dev,151-200,กลาง(>2-3.5]
OpenAI,3.1,"software engineer, hardware health","san francisco, ca",5d,$78K - $121K (Glassdoor est.),San Francisco, CA,No,78.0,121.0,99.5,Software_En,50-100,ต่ำ(0-2]
Two Six Technologies,2.7,software engineer,"tysons corner, va",17d,$100K - $165K (Employer est.),Tysons Corner, VA,No,100.0,165.0,132.5,Software_En,101-150,ต่ำ(0-2]
Splunk,3.5,software engineer (us remote available),remote,3d,$125K (Employer est.),Remote,Unknow,Yes,,,129.3361934477379,Software_En,101-150,กลาง(>2-3.5]
Sasken,4.1,software engineer,united states,6d,$71K - $112K (Glassdoor est.),United States,Unknow,No,71.0,112.0,91.5,Software_En,50-100,กลาง(>2-3.5]
RealmOne,3.8,software engineer,united states,5d,$95K - $152K (Employer est.),United States,Unknow,No,95.0,152.0,123.5,Software_En,101-150,กลาง(>2-3.5]
The Wolf Works LLC,4.4,node js,"austin, tx",2d,$86K - $105K (Glassdoor est.),Austin, TX,No,86.0,105.0,95.5,Other,50-100,กลาง(>2-3.5]
Millennium Management,3.8,software engineer - c#,"new york, ny",30d+,$135K - $216K (Employer est.),New York, NY,No,135.0,216.0,175.5,Software_En,151-200,กลาง(>2-3.5]
"Aflac, Incorporated",4.0,software engineer iii,remote,1d,$93K - $112K (Employer est.),Remote,Unknow,Yes,93.0,112.0,102.5,Software_En,101-150,กลาง(>2-3.5]
RingCentral,3.9,software engineer,"belmont, ca",24d,$104K - $161K (Glassdoor est.),Belmont, CA,No,104.0,161.0,132.5,Software_En,101-150,กลาง(>2-3.5]
Dallas Area Rapid Transit,3.7,software engineer-bi,"dallas, tx",30d+,$77K - $121K (Glassdoor est.),Dallas, TX,No,77.0,121.0,99.0,Software_En,50-100,กลาง(>2-3.5]
W R Systems,3.5,software engineer,"dahlgren, va",4d,$95K - $134K (Glassdoor est.),Dahlgren, VA,No,95.0,134.0,114.5,Software_En,101-150,กลาง(>2-3.5]
"CARECRAFT, INC",3.7,software engineer,"carlsbad, ca",10d,$125K - $178K (Employer est.),Carlsbad, CA,No,125.0,178.0,151.5,Software_En,151-200,กลาง(>2-3.5]
SpecialT Tech,3.1,cloud engineer manager,remote,25d,$76K - $108K (Glassdoor est.),Remote,Unknow,Yes,76.0,108.0,92.0,Software_clound,50-100,ต่ำ(0-2]
"Hottinger, Bruel & Kjaer",4.5,software engineer,"pompano beach, fl",30d+,$77K - $116K (Glassdoor est.),Pompano Beach, FL,No,77.0,116.0,96.5,Software_En,50-100,สูง(>3.5-5]
"CPS Solutions, LLC",4.1,devops engineer,united states,3d,$82K - $106K (Glassdoor est.),United States,Unknow,No,82.0,106.0,94.0,Software_Dev,50-100,กลาง(>2-3.5]
Northwestern Memorial Healthcare,4.2,software developers,"chicago, il",10d,$86K - $120K (Glassdoor est.),Chicago, IL,No,86.0,120.0,103.0,Software_En,101-150,กลาง(>2-3.5]
The Swift Group,4.1,software engineer,"columbia, md",30d+,$96K - $146K (Employer est.),Columbia, MD,No,96.0,146.0,121.0,Software_En,101-150,กลาง(>2-3.5]
ASUS Computer International,4.9,software engineer - ai,"hillsboro, or",30d+,$96K - $137K (Glassdoor est.),Hillsboro, OR,No,96.0,137.0,116.5,Software_En,101-150,สูง(>3.5-5]
Persistent Systems,4.6,workday software engineer,united states,9d,$141K - $239K (Employer est.),United States,Unknow,No,141.0,239.0,190.0,Software_En,151-200,สูง(>3.5-5]
Cedar Inc,3.3,software engineer ii (communications platform),"new york, ny",20d,$108K - $140K (Employer est.),New York, NY,No,108.0,140.0,124.0,Software_En,101-150,ต่ำ(0-2]
Salesforce,3.1,software engineering mts,"san francisco, ca",3d,$40.00 - $55.00 Per Hour (Employer est.),San Francisco, CA,No,,,129.3361934477379,Software_En,101-150,ต่ำ(0-2]
CVS Health,2.4,"software developer - c#, .net","scottsdale, az",3d,$108K - $195K (Employer est.),Scottsdale, AZ,No,108.0,195.0,151.5,Software_En,151-200,ต่ำ(0-2]
Nautilus Hyosung America Inc,3.1,software engineer,"irving, tx",3d,$111K - $184K (Employer est.),Irving, TX,No,111.0,184.0,147.5,Software_En,101-150,ต่ำ(0-2]
Blue Origin,4.4,embedded flight software engineer – new glenn,"seattle, wa",2d,$189K - $284K (Employer est.),Seattle, WA,No,189.0,284.0,236.5,Software_En,201-250,กลาง(>2-3.5]
West Bend Insurance Company,4.9,software engineer,"west bend, wi",1d,$79K - $109K (Glassdoor est.),West Bend, WI,No,79.0,109.0,94.0,Software_En,50-100,สูง(>3.5-5]
JBT Corporation,4.1,software engineer c#,"chalfont, pa",15d,$94K - $129K (Glassdoor est.),Chalfont, PA,No,94.0,129.0,111.5,Software_En,101-150,กลาง(>2-3.5]
Cedar Inc,3.1,software engineer iii (payment workflows),"new york, ny",19d,$56K - $83K (Glassdoor est.),New York, NY,No,56.0,83.0,69.5,Software_En,50-100,ต่ำ(0-2]
Allied Business Consulting,3.8,software developers,"somerset, nj",13d,$202K - $290K (Employer est.),Somerset, NJ,No,202.0,290.0,246.0,Software_En,201-250,กลาง(>2-3.5]
"Chick-fil-A, Inc.",2.3,senior software engineer - backend development,"atlanta, ga",11d,$70K - $103K (Glassdoor est.),Atlanta, GA,No,70.0,103.0,86.5,Software_En,50-100,ต่ำ(0-2]
"US AMR-Jones Lang LaSalle Americas, Inc.",3.8,software engineering,"san francisco, ca",2d,$86K - $121K (Glassdoor est.),San Francisco, CA,No,86.0,121.0,103.5,Software_En,101-150,กลาง(>2-3.5]
Smart IMS,3.8,software engineer,"austin, tx",30d+,$74K - $107K (Glassdoor est.),Austin, TX,No,74.0,107.0,90.5,Software_En,50-100,กลาง(>2-3.5]
Clearwater Analytics,4.7,software development engineer,"san jose, ca",30d+,$81K - $113K (Glassdoor est.),San Jose, CA,No,81.0,113.0,97.0,Software_En,50-100,สูง(>3.5-5]
PayPal,3.9,"software engineer, backend","san jose, ca",2d,$72K - $119K (Glassdoor est.),San Jose, CA,No,72.0,119.0,95.5,Software_En,50-100,กลาง(>2-3.5]
WALGREENS,4.6,principal software engineer,"bellevue, wa",1d,$90K - $125K (Glassdoor est.),Bellevue, WA,No,90.0,125.0,107.5,Software_En,101-150,สูง(>3.5-5]
The Swift Group,3.7,software engineer,"mclean, va",18d,$80K - $150K (Employer est.),McLean, VA,No,80.0,150.0,115.0,Software_En,101-150,กลาง(>2-3.5]
Hewlett Packard,3.5,software engineer,"spring, tx",10d,$72K - $144K (Employer est.),Spring, TX,No,72.0,144.0,108.0,Software_En,101-150,กลาง(>2-3.5]
Microsoft,4.0,software engineer,"redmond, wa",5d,$70K - $95K (Employer est.),Redmond, WA,No,70.0,95.0,82.5,Software_En,50-100,กลาง(>2-3.5]
New River Systems Corporation,4.4,sharepoint software systems engineer,remote,17d,$100K - $140K (Employer est.),Remote,Unknow,Yes,100.0,140.0,120.0,Software_En,101-150,กลาง(>2-3.5]
"Modern Technology Solutions, Inc.",4.6,software engineer - associate,"chantilly, va",11d,$124K - $234K (Employer est.),Chantilly, VA,No,124.0,234.0,179.0,Software_En,151-200,สูง(>3.5-5]
PQSecure Technologies,3.7,hardware/software engineer,"boca raton, fl",30d+,$88K - $119K (Glassdoor est.),Boca Raton, FL,No,88.0,119.0,103.5,Software_En,101-150,กลาง(>2-3.5]
ISPA Technology,4.4,mid to senior level software engineer,"san diego, ca",19d,$123K - $198K (Employer est.),San Diego, CA,No,123.0,198.0,160.5,Software_En,151-200,กลาง(>2-3.5]
OnMed,5.0,site reliability engineer,"tampa, fl",23d,$158K - $176K (Employer est.),Tampa, FL,No,158.0,176.0,167.0,Other,151-200,สูง(>3.5-5]
Grote Industries,4.2,networks - embedded software engineer,"madison, in",3d,$160K - $180K (Employer est.),Madison, IN,No,160.0,180.0,170.0,Software_En,151-200,กลาง(>2-3.5]
WALGREENS,3.9,devops engineer,"deerfield, il",24h,$87K - $119K (Glassdoor est.),Deerfield, IL,No,87.0,119.0,103.0,Software_Dev,101-150,กลาง(>2-3.5]
Cloud Software Group,4.5,software engineer,"naperville, il",12d,$97K - $145K (Employer est.),Naperville, IL,No,97.0,145.0,121.0,Software_En,101-150,สูง(>3.5-5]
WALGREENS,4.6,"senior software engineer (full-stack, java, javascript)","bellevue, wa",30d+,$89K - $139K (Glassdoor est.),Bellevue, WA,No,89.0,139.0,114.0,Software_En,101-150,สูง(>3.5-5]
NationMind Infoservices Pvt Ltd,3.6,software engineer,florida,16d,$53K - $103K (Employer est.),Florida,Unknow,No,53.0,103.0,78.0,Software_En,50-100,กลาง(>2-3.5]
Arrowstreet Capital,3.4,fullstack software engineer,"boston, ma",30d+,$129K - $228K (Employer est.),Boston, MA,No,129.0,228.0,178.5,Software_En,151-200,ต่ำ(0-2]
Favorited,4.8,full stack engineer,"santa monica, ca",2d,$150K - $250K (Employer est.),Santa Monica, CA,No,150.0,250.0,200.0,Other,151-200,สูง(>3.5-5]
Strategic Thermal Labs,2.5,software engineer,"georgetown, tx",11d,$116K - $163K (Glassdoor est.),Georgetown, TX,No,116.0,163.0,139.5,Software_En,101-150,ต่ำ(0-2]
IdolSoft,3.3,software developer,"irving, tx",30d+,$104K - $127K (Glassdoor est.),Irving, TX,No,104.0,127.0,115.5,Software_En,101-150,ต่ำ(0-2]
BI Labs,3.1,software developers (834),"plainsboro, nj",30d+,$53K - $96K (Employer est.),Plainsboro, NJ,No,53.0,96.0,74.5,Software_En,50-100,ต่ำ(0-2]
Verily,3.5,"software engineer, enterprise frontend","san bruno, ca",30d+,$60K - $90K (Employer est.),San Bruno, CA,No,60.0,90.0,75.0,Software_En,50-100,กลาง(>2-3.5]
Colonial Pipeline Company,4.4,software engineer,"alpharetta, ga",30d+,$143K - $191K (Employer est.),Alpharetta, GA,No,143.0,191.0,167.0,Software_En,151-200,กลาง(>2-3.5]
Leader Communications Inc,4.2,software engineer,"hill afb, ut",26d,$142K - $162K (Employer est.),Hill AFB, UT,No,142.0,162.0,152.0,Software_En,151-200,กลาง(>2-3.5]
UCare,3.3,software engineer sr. â€” net,"minneapolis, mn",12d,$89K - $129K (Glassdoor est.),Minneapolis, MN,No,89.0,129.0,109.0,Software_En,101-150,ต่ำ(0-2]
CliftonLarsonAllen,4.8,devops engineer,"minneapolis, mn",11d,$94K - $156K (Employer est.),Minneapolis, MN,No,94.0,156.0,125.0,Software_Dev,101-150,สูง(>3.5-5]
Two Six Technologies,3.9,software engineer associate manager - national general,remote,4d,$80K - $148K (Glassdoor est.),Remote,Unknow,Yes,80.0,148.0,114.0,Software_En,101-150,กลาง(>2-3.5]
BAE Systems,3.9,software engineer,"herndon, va",30d+,$62K - $105K (Employer est.),Herndon, VA,No,62.0,105.0,83.5,Software_En,50-100,กลาง(>2-3.5]
Nodal Exchange,3.5,software engineer (expert),"herndon, va",30d+,$81K - $164K (Employer est.),Herndon, VA,No,81.0,164.0,122.5,Software_En,101-150,กลาง(>2-3.5]
Gomez & Companies,3.5,software engineer (mid-level),united states,9d,$98K - $145K (Glassdoor est.),United States,Unknow,No,98.0,145.0,121.5,Software_En,101-150,กลาง(>2-3.5]
"T-Mobile USA, Inc.",3.7,full stack software engineer & api developer,"canoga park, ca",1d,$157K - $207K (Employer est.),Canoga Park, CA,No,157.0,207.0,182.0,Software_En,151-200,กลาง(>2-3.5]
M&T Bank,3.5,sr software engineer - data,"bellevue, wa",3d,$133K - $143K (Employer est.),Bellevue, WA,No,133.0,143.0,138.0,Software_En,101-150,กลาง(>2-3.5]
Pressco Technology,4.5,"api services - senior software engineer - java, spring boot","buffalo, ny",10d,$79K - $159K (Employer est.),Buffalo, NY,No,79.0,159.0,119.0,Software_En,101-150,สูง(>3.5-5]
YouTube,3.8,software integration & test engineer,"solon, oh",3d,$132K - $190K (Glassdoor est.),Solon, OH,No,132.0,190.0,161.0,Software_En,151-200,กลาง(>2-3.5]
ISPA Technology,4.2,"staff software engineer, machine learning, youtube music","new york, ny",1d,$90K - $143K (Glassdoor est.),New York, NY,No,90.0,143.0,116.5,Software_En,101-150,กลาง(>2-3.5]
Scentsy Inc,4.0,mid-level software systems engineer,united states,23d,$101K - $187K (Employer est.),United States,Unknow,No,101.0,187.0,144.0,Software_En,101-150,กลาง(>2-3.5]
STRATASCORP,3.5,software engineer,"meridian, id",5d,$58K - $103K (Glassdoor est.),Meridian, ID,No,58.0,103.0,80.5,Software_En,50-100,กลาง(>2-3.5]
3R Info,3.8,software engineer,"arlington, va",4d,$125K - $200K (Employer est.),Arlington, VA,No,125.0,200.0,162.5,Software_En,151-200,กลาง(>2-3.5]
Toyota Research Institute,4.1,software engineer in testing,"canton, mi",30d+,$168K (Employer est.),Canton, MI,No,,,129.3361934477379,Software_En,101-150,กลาง(>2-3.5]
Gelber Group,5.0,senior software engineer,"los altos, ca",9d,$110K - $143K (Glassdoor est.),Los Altos, CA,No,110.0,143.0,126.5,Software_En,101-150,สูง(>3.5-5]
"PeopleTec, Inc.",3.5,software engineer- executions team,"chicago, il",20d,$80.00 - $85.00 Per Hour (Employer est.),Chicago, IL,No,,,129.3361934477379,Software_En,101-150,กลาง(>2-3.5]
Flysoft,5.0,software engineer,,2d,$78K - $112K (Glassdoor est.),Unknow,Unknow,No,78.0,112.0,95.0,Software_En,50-100,สูง(>3.5-5]
Ingrain Systems Inc.,3.9,software engineer,"jamesburg, nj",20d,$95K - $125K (Glassdoor est.),Jamesburg, NJ,No,95.0,125.0,110.0,Software_En,101-150,กลาง(>2-3.5]
Carrier,4.7,software developers,"sherman, tx",30d+,$92K - $158K (Employer est.),Sherman, TX,No,92.0,158.0,125.0,Software_En,101-150,สูง(>3.5-5]
NCR,4.2,software engineer,"charlotte, nc",3d,$147K - $180K (Employer est.),Charlotte, NC,No,147.0,180.0,163.5,Software_En,151-200,กลาง(>2-3.5]
AnaVation,3.5,software engineer iv - java fullstack,indiana,30d+,$75K - $102K (Glassdoor est.),Indiana,Unknow,No,75.0,102.0,88.5,Software_En,50-100,กลาง(>2-3.5]
Soar Technology,3.5,mid-level software engineer – hybrid!,"quantico, va",30d+,$60K - $112K (Employer est.),Quantico, VA,No,60.0,112.0,86.0,Software_En,50-100,กลาง(>2-3.5]
Red Ventures,3.1,autonomy software engineer,"ann arbor, mi",2d,$108K - $151K (Glassdoor est.),Ann Arbor, MI,No,108.0,151.0,129.5,Software_En,101-150,ต่ำ(0-2]
CVS Health,4.1,software engineer | the points guy,"san juan, pr",2d,$123K - $196K (Employer est.),San Juan, PR,No,123.0,196.0,159.5,Software_En,151-200,กลาง(>2-3.5]
"Messenger, LLC",4.4,software development itam engineer,"lansing, mi",5d,$116K - $166K (Glassdoor est.),Lansing, MI,No,116.0,166.0,141.0,Software_En,101-150,กลาง(>2-3.5]
Nelnet,3.5,software developer,"auburn, in",3d,$59K - $107K (Glassdoor est.),Auburn, IN,No,59.0,107.0,83.0,Software_En,50-100,กลาง(>2-3.5]
Slate Magazine,4.8,it software engineer- nbs,"lincoln, ne",24d,$104K - $163K (Glassdoor est.),Lincoln, NE,No,104.0,163.0,133.5,Software_En,101-150,สูง(>3.5-5]
Adobe,3.5,software engineer,"washington, dc",30d+,$68K - $80K (Employer est.),Washington, DC,No,68.0,80.0,74.0,Software_En,50-100,กลาง(>2-3.5]
Airgas,4.1,software engineer,"lehi, ut",12d,$83K - $107K (Glassdoor est.),Lehi, UT,No,83.0,107.0,95.0,Software_En,50-100,กลาง(>2-3.5]
Umbra,3.9,firmware engineer,"cheshire, ct",2d,$109K - $209K (Employer est.),Cheshire, CT,No,109.0,209.0,159.0,Other,151-200,กลาง(>2-3.5]
Uber,3.8,senior software engineer,"santa barbara, ca",5d,$97K - $197K (Employer est.),Santa Barbara, CA,No,97.0,197.0,147.0,Software_En,101-150,กลาง(>2-3.5]
Collaborative Robotics,3.7,software engineer ii - uber eats,"san francisco, ca",27d,$57K - $96K (Glassdoor est.),San Francisco, CA,No,57.0,96.0,76.5,Software_En,50-100,กลาง(>2-3.5]
Werfen,3.3,"software engineer, robotics","santa clara, ca",8d,$98K - $145K (Glassdoor est.),Santa Clara, CA,No,98.0,145.0,121.5,Software_En,101-150,ต่ำ(0-2]
Snapchat,4.3,"software development engineer in test, digital solutions","bedford, ma",19d,$66K - $90K (Glassdoor est.),Bedford, MA,No,66.0,90.0,78.0,Software_En,50-100,กลาง(>2-3.5]
"Canon Medical Research USA, Inc",3.7,"c++ graphics engineer, 1+ years of experience","new york, ny",2d,$55.00 - $60.00 Per Hour (Employer est.),New York, NY,No,,,127.6125,Other,101-150,กลาง(>2-3.5]
Raytheon,4.0,software engineer,"cambridge, ma",2d,$79K - $168K (Employer est.),Cambridge, MA,No,79.0,168.0,123.5,Software_En,101-150,กลาง(>2-3.5]
Snapchat,3.8,junior software engineer,"annapolis junction, md",6d,$102K - $174K (Employer est.),Annapolis Junction, MD,No,102.0,174.0,138.0,Software_En,101-150,กลาง(>2-3.5]
Hudson River Trading,3.9,"software engineer, c++, 3+ years of experience","los angeles, ca",4d,$73K - $108K (Glassdoor est.),Los Angeles, CA,No,73.0,108.0,90.5,Software_En,50-100,กลาง(>2-3.5]
Whisker,4.3,systems software engineer,"new york, ny",30d+,$110K - $190K (Employer est.),New York, NY,No,110.0,190.0,150.0,Software_En,101-150,กลาง(>2-3.5]
Mastercard,3.1,senior software engineer,"auburn hills, mi",30d+,$94K - $137K (Glassdoor est.),Auburn Hills, MI,No,94.0,137.0,115.5,Software_En,101-150,ต่ำ(0-2]
Savannah River Mission Completion,3.6,software engineer ii,"o fallon, mo",8d,$89K - $113K (Glassdoor est.),O Fallon, MO,No,89.0,113.0,101.0,Software_En,101-150,กลาง(>2-3.5]
Mill-Max,3.8,associate software developer,"aiken, sc",9d,$80K - $100K (Employer est.),Aiken, SC,No,80.0,100.0,90.0,Software_En,50-100,กลาง(>2-3.5]
Disney Entertainment & ESPN Technology,3.8,software engineer trainee,"oyster bay, ny",24d,$128K - $179K (Glassdoor est.),Oyster Bay, NY,No,128.0,179.0,153.5,Software_En,151-200,กลาง(>2-3.5]
Coca-Cola,4.2,sr software engineer,"seattle, wa",1d,$74K - $125K (Glassdoor est.),Seattle, WA,No,74.0,125.0,99.5,Software_En,50-100,กลาง(>2-3.5]
Kaleido,4.1,staff software engineer,"atlanta, ga",4d,$90K - $187K (Employer est.),Atlanta, GA,No,90.0,187.0,138.5,Software_En,101-150,กลาง(>2-3.5]
M&T Bank,3.7,full stack engineer,"raleigh, nc",5d,$143K - $256K (Employer est.),Raleigh, NC,No,143.0,256.0,199.5,Other,151-200,กลาง(>2-3.5]
Lufburrow & Co,3.4,"software engineer - api, java, spring boot","buffalo, ny",30d+,$114K - $145K (Glassdoor est.),Buffalo, NY,No,114.0,145.0,129.5,Software_En,101-150,ต่ำ(0-2]
Boost Tech,4.1,software engineer - hybrid,"havre de grace, md",30d+,$101K - $155K (Glassdoor est.),Havre de Grace, MD,No,101.0,155.0,128.0,Software_En,101-150,กลาง(>2-3.5]
BAE Systems,3.9,senior software engineer (crm),remote,2d,$84K - $128K (Glassdoor est.),Remote,Unknow,Yes,84.0,128.0,106.0,Software_En,101-150,กลาง(>2-3.5]
VANTACA,4.5,test software engineer,"nashua, nh",4d,$100.00 Per Hour (Employer est.),Nashua, NH,No,,,129.3361934477379,Software_En,101-150,สูง(>3.5-5]
Numerica Corporation,4.7,mobile engineer,,2d,$71K - $104K (Glassdoor est.),Unknow,Unknow,No,71.0,104.0,87.5,Other,50-100,สูง(>3.5-5]
Veracity Engineering,4.6,software engineer (multiple openings),"fort collins, co",18d,$99K - $137K (Glassdoor est.),Fort Collins, CO,No,99.0,137.0,118.0,Software_En,101-150,สูง(>3.5-5]
AppLovin,4.7,software engineer,"washington, dc",5d,$15.69 Per Hour (Employer est.),Washington, DC,No,,,129.3361934477379,Software_En,101-150,สูง(>3.5-5]
M&T Bank,4.1,"software engineer ii, c++ backend","palo alto, ca",5d,$141K - $211K (Employer est.),Palo Alto, CA,No,141.0,211.0,176.0,Software_En,151-200,กลาง(>2-3.5]
CVS Health,4.2,software engineer ii,"wilmington, de",30d+,$76K - $128K (Employer est.),Wilmington, DE,No,76.0,128.0,102.0,Software_En,101-150,กลาง(>2-3.5]
Microsoft,4.1,junior software developer (java & azure cloud),"woonsocket, ri",2d,$93K - $129K (Glassdoor est.),Woonsocket, RI,No,93.0,129.0,111.0,Software_clound,101-150,กลาง(>2-3.5]
Northwest Talent Solutions LLC,3.6,software engineer 2,,2d,$93K - $131K (Glassdoor est.),Unknow,Unknow,No,93.0,131.0,112.0,Software_En,101-150,กลาง(>2-3.5]
